id,slug,category,name_en,name_hi,description
tea-ctc-black-tea,black-tea-ctc,tea,Black Tea (CTC),,Strong daily-use CTC black tea blend.
tea-ctc-black-tea-premium,black-tea-premium-ctc,tea,Black Tea Premium (CTC),,Premium CTC blend with bolder aroma and liquor.
tea-orthodox-green-leaves,organic-green-tea-orthodox-leaves,tea,Organic Green Tea - Orthodox Leaves,,Best consumed without milk with honey or sugar.
tea-orthodox-black-leaves,black-tea-orthodox-leaves,tea,Black Tea - Orthodox Leaves,,Best consumed without milk with honey or sugar.
spice-dry-mango-powder,dry-mango-powder-amchur,spices,Dry Mango Powder,अमचूर,Tangy amchur powder for chaat and curries.
spice-black-pepper-powder,black-pepper-powder,spices,Black Pepper Powder,काली मिर्च पीसा,Finely ground black pepper for seasoning.
spice-black-pepper-whole,black-pepper-whole,spices,Black Pepper Whole,साबुत काली मिर्च,Whole black peppercorns for fresh grinding.
spice-chana-masala,chana-masala,spices,Chana Masala,चना मसाला,Balanced blend for chickpea preparations.
spice-coriander-powder,coriander-powder,spices,Coriander Powder,धनिया,Fresh coriander powder for everyday cooking.
spice-garam-masala,mixed-spices-powder-garam-masala,spices,Mixed Spices Powder (Garam Masala),गरम मसाला,Aromatic mixed spice blend for curries and gravies.
spice-turmeric-powder,turmeric-powder,spices,Turmeric Powder,हल्दी,Fine turmeric powder with deep golden color.
spice-cumin-powder,cumin-powder,spices,Cumin Powder,पीसा जीरा,Ground cumin with earthy aroma.
spice-cumin-whole,cumin-whole,spices,Cumin Whole,जीरा साबुत,Whole cumin seeds for tempering and blends.
spice-red-chilli-powder,red-chilli-powder,spices,Red Chilli Powder,लाल मिर्च,Classic red chilli powder for color and heat.
spice-deghi-mirch-powder,deghi-mirch-powder,spices,Deghi Mirch Powder,देगी लाल मिर्च,Deghi mirch blend for rich color and mild heat.
spice-kutti-red-chilli,kutti-red-chilli-powder,spices,Red Chilli Powder (Kutti),कुट्टी लाल मिर्च,Crushed red chilli for texture and medium-high heat.
spice-ginger-powder,ginger-powder,spices,Ginger Powder,सौंठ,Dry ginger powder for seasoning and tea blends.
spice-carom-seeds,carom-seeds-ajwain,spices,Carom Seeds,अजवाइन,Ajwain seeds with a sharp thyme-like aroma.
spice-asafoetida,asafoetida-hing,spices,Asafoetida,हींग,Strong aromatic hing for tempering.
spice-chai-masala,chai-masala,spices,Chai Masala,चाय मसाला,Aromatic masala blend for tea.
spice-clove,clove-laung,spices,Clove,लौंग,Whole cloves with intense warm aroma.
spice-cardamom,cardamom-elaichi,spices,Cardamom,इलायची,Green cardamom pods with sweet aroma.
spice-cinnamon,cinnamon-dalchini,spices,Cinnamon,दालचीनी,Cinnamon pieces for warm sweet-spice notes.
spice-kasuri-methi,fenugreek-seeds-kasuri-methi,spices,Fenugreek Seeds (Kasuri Methi),कसूरी मेथी,Kasuri methi style product listing from source sheet.
spice-black-cardamom,black-cardamom-moti-elaichi,spices,Black Cardamom,मोटी इलायची,Smoky black cardamom for robust flavors.
spice-fennel,fennel-saunf,spices,Fennel,सौंफ,Sweet fennel seeds for cooking and mouth freshener.
spice-fenugreek-seeds,fenugreek-seeds-methi-dana,spices,Fenugreek Seeds,मेथी दाना,Whole methi dana for tempering and pickles.
